date,age_group,gender,channel,sentiment,review
2025-02-03,60+,Male,Branch C,Positive,Happy with the online banking features.
2025-05-20,26-35,Male,Branch A,Normal,"Service was okay, like usual."
2025-02-25,36-45,Male,Branch C,Positive,Happy with the online banking features.
2024-12-10,60+,Female,Branch B,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2024-12-13,26-35,Male,Branch C,Negative,Had issues accessing my account online
2025-04-22,18-25,Male,Branch C,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive."
2025-02-18,18-25,Female,Branch C,Extremely Negative,Terrible customer service and unresolved issues
2025-02-28,18-25,Male,Branch D,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2024-12-21,46-60,Female,Branch A,Positive,"Good experience at the branch, staff were polite."
2025-03-16,18-25,Male,Branch D,Extremely Negative,Terrible customer service and unresolved issues.
2025-03-25,46-60,Male,Branch A,Neutral,"Service was average, nothing went wrong."
2025-05-20,46-60,Male,Branch D,Extremely Negative,Terrible customer service and unresolved issues.
2025-03-03,46-60,Male,Branch C,Neutral,"Service was average, nothing went wrong."
2025-05-13,26-35,Male,Branch C,Extremely Positive,Fantastic experience with my loan application
2025-01-06,18-25,Male,Branch B,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process.
2024-12-01,18-25,Female,Branch B,Neutral,Just a regular visit to the branch. Just a regular visit to the branch.
2025-01-05,46-60,Male,Branch D,Positive,Happy with the online banking features.
2025-03-16,60+,Male,Mobile App,Negative,Had issues accessing my account online.
2025-01-31,60+,Female,Online,Positive,Customer service was helpful and answered all my queries
2024-12-10,36-45,Female,Online,Neutral,"Banking experience was fine, nothing noteworthy"
2025-05-28,60+,Female,Mobile App,Normal,"Got my transaction done, no issues"
2024-12-14,46-60,Female,Branch A,Negative,Had issues accessing my account online. Had issues accessing my account online.
2025-01-16,60+,Female,Branch B,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2025-04-24,18-25,Male,Branch C,Normal,"Service was okay, like usual."
2024-12-24,36-45,Female,Branch D,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-01-04,46-60,Female,Online,Normal,"Service was okay, like usual."
2025-04-06,60+,Male,Branch A,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-03-24,26-35,Male,Branch B,Normal,"Got my transaction done, no issues."
2025-02-27,36-45,Male,Branch B,Normal,"Got my transaction done, no issues."
2025-01-25,26-35,Female,Branch B,Positive,"Good experience at the branch, staff were polite."
2025-02-02,26-35,Female,Branch C,Neutral,"Service was average, nothing went wrong. Service was average, nothing went wrong."
2025-01-21,18-25,Male,Mobile App,Positive,Customer service was helpful and answered all my queries.
2025-03-17,26-35,Male,Branch C,Negative,"Support could be improved, not very responsive."
2025-03-11,18-25,Female,Branch A,Positive,Happy with the online banking features. Happy with the online banking features.
2024-12-22,26-35,Male,Branch A,Neutral,"Banking experience was fine, nothing noteworthy."
2025-04-28,46-60,Male,Branch B,Normal,"Got my transaction done, no issues"
2025-04-05,26-35,Male,Mobile App,Normal,"Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues."
2025-01-20,36-45,Male,Online,Neutral,"Banking experience was fine, nothing noteworthy."
2024-12-02,26-35,Male,Branch C,Negative,Had issues accessing my account online.
2025-05-26,46-60,Female,Branch D,Negative,"Support could be improved, not very responsive"
2025-04-11,46-60,Male,Online,Neutral,Just a regular visit to the branch.
2024-12-26,26-35,Male,Online,Extremely Negative,Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional.
2025-05-22,60+,Female,Branch B,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2025-04-22,26-35,Female,Branch B,Positive,"Good experience at the branch, staff were polite."
2025-02-11,26-35,Male,Online,Negative,Had issues accessing my account online.
2025-03-31,18-25,Male,Mobile App,Extremely Positive,Fantastic experience with my loan application
2025-05-13,60+,Male,Branch D,Negative,"Support could be improved, not very responsive."
2025-01-25,36-45,Female,Branch C,Negative,Long wait time and some confusion with the teller
2025-05-31,46-60,Male,Online,Extremely Positive,Extremely satisfied with how my account issues were resolved
2025-02-21,46-60,Male,Branch A,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-04-28,26-35,Male,Branch B,Normal,"Got my transaction done, no issues."
2025-02-25,46-60,Female,Branch B,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-05-28,46-60,Female,Branch C,Extremely Negative,Very disappointed with the service
2025-02-15,18-25,Female,Online,Extremely Negative,Worst experience at a bank ever
2025-05-08,18-25,Male,Branch A,Normal,It was a standard banking interaction
2025-01-27,60+,Male,Branch D,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-01-20,36-45,Male,Online,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2025-01-02,36-45,Male,Branch B,Neutral,"Service was average, nothing went wrong."
2025-02-27,46-60,Male,Branch A,Extremely Negative,Very disappointed with the service
2025-04-11,60+,Female,Branch D,Extremely Positive,Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved.
2024-12-04,18-25,Female,Branch A,Extremely Negative,Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks.
2025-02-14,18-25,Male,Branch B,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process.
2025-05-19,46-60,Male,Branch C,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2024-11-30,18-25,Male,Mobile App,Extremely Positive,Exceptional banking service! The staff was incredibly helpful. Exceptional banking service! The staff was incredibly helpful. Exceptional banking service! The staff was incredibly helpful.
2025-02-08,60+,Female,Branch A,Extremely Positive,Fantastic experience with my loan application
2025-02-02,26-35,Female,Branch A,Negative,Had issues accessing my account online.
2025-04-08,18-25,Female,Branch C,Neutral,"Service was average, nothing went wrong."
2025-02-17,26-35,Male,Branch D,Extremely Negative,Terrible customer service and unresolved issues
2025-01-22,36-45,Female,Branch C,Negative,Had issues accessing my account online
2024-12-01,36-45,Male,Mobile App,Neutral,Just a regular visit to the branch.
2025-05-07,18-25,Female,Branch A,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2025-03-23,46-60,Female,Branch C,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2024-12-10,46-60,Female,Branch A,Negative,Had issues accessing my account online. Had issues accessing my account online.
2025-01-15,36-45,Male,Mobile App,Negative,Long wait time and some confusion with the teller.
2025-02-20,36-45,Female,Branch B,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2024-12-25,60+,Male,Mobile App,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2025-03-31,36-45,Male,Branch B,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2025-01-29,18-25,Male,Online,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2025-03-07,26-35,Male,Online,Negative,Had issues accessing my account online.
2025-04-16,18-25,Female,Branch B,Normal,"Service was okay, like usual."
2025-01-30,60+,Female,Branch D,Normal,"Service was okay, like usual."
2024-12-08,46-60,Female,Branch D,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2025-04-12,18-25,Male,Branch C,Extremely Positive,Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved. Extremely satisfied with how my account issues were resolved.
2025-05-27,60+,Male,Branch B,Neutral,"Banking experience was fine, nothing noteworthy."
2025-02-01,46-60,Female,Branch A,Negative,Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online.
2025-04-03,46-60,Female,Branch D,Negative,Long wait time and some confusion with the teller.
2025-04-25,26-35,Male,Mobile App,Normal,It was a standard banking interaction. It was a standard banking interaction. It was a standard banking interaction. It was a standard banking interaction. It was a standard banking interaction.
2025-05-31,36-45,Male,Branch A,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2024-12-03,60+,Female,Branch D,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-05-02,60+,Male,Branch B,Neutral,"Service was average, nothing went wrong. Service was average, nothing went wrong. Service was average, nothing went wrong. Service was average, nothing went wrong. Service was average, nothing went wrong."
2025-05-19,36-45,Male,Branch B,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-05-02,36-45,Male,Branch A,Extremely Negative,Worst experience at a bank ever
2025-05-10,18-25,Female,Branch D,Normal,"Got my transaction done, no issues"
2025-05-08,46-60,Female,Mobile App,Negative,Long wait time and some confusion with the teller. Long wait time and some confusion with the teller.
2025-05-28,60+,Male,Branch D,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2024-12-04,60+,Male,Mobile App,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-02-01,36-45,Male,Mobile App,Positive,"Good experience at the branch, staff were polite"
2025-05-06,18-25,Female,Branch A,Normal,"Service was okay, like usual."
2025-05-09,36-45,Male,Branch C,Extremely Negative,Very disappointed with the service
2025-02-14,18-25,Female,Branch C,Negative,Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online.
2025-02-24,46-60,Female,Branch C,Negative,Had issues accessing my account online.
2025-05-05,60+,Female,Online,Normal,It was a standard banking interaction.
2024-12-03,36-45,Female,Mobile App,Extremely Positive,Exceptional banking service! The staff was incredibly helpful
2025-02-13,18-25,Male,Online,Normal,It was a standard banking interaction.
2025-04-01,36-45,Male,Online,Negative,Had issues accessing my account online.
2025-02-11,60+,Male,Branch A,Extremely Negative,Worst experience at a bank ever
2025-02-17,36-45,Male,Online,Normal,It was a standard banking interaction.
2024-12-19,46-60,Male,Branch B,Positive,"Good experience at the branch, staff were polite."
2025-05-06,46-60,Female,Branch B,Negative,"Support could be improved, not very responsive"
2025-05-24,36-45,Male,Branch C,Normal,It was a standard banking interaction
2025-04-21,60+,Female,Branch C,Extremely Positive,Exceptional banking service! The staff was incredibly helpful
2024-12-18,46-60,Male,Branch A,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-04-04,46-60,Female,Branch D,Negative,Had issues accessing my account online
2024-12-13,60+,Female,Branch C,Positive,"Good experience at the branch, staff were polite."
2024-12-10,26-35,Female,Branch C,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2025-03-16,26-35,Male,Mobile App,Normal,"Service was okay, like usual."
2025-03-13,26-35,Male,Mobile App,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2024-12-04,46-60,Male,Branch A,Negative,Long wait time and some confusion with the teller.
2025-05-12,46-60,Female,Branch D,Positive,Customer service was helpful and answered all my queries. Customer service was helpful and answered all my queries. Customer service was helpful and answered all my queries. Customer service was helpful and answered all my queries.
2024-12-23,46-60,Male,Branch A,Negative,Had issues accessing my account online. Had issues accessing my account online.
2025-02-24,46-60,Male,Branch B,Neutral,"Service was average, nothing went wrong"
2025-03-29,60+,Female,Branch C,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-03-30,60+,Female,Branch A,Extremely Negative,Terrible customer service and unresolved issues.
2025-02-08,46-60,Female,Online,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2025-02-14,18-25,Male,Branch B,Normal,"Got my transaction done, no issues. Got my transaction done, no issues."
2025-01-18,18-25,Male,Online,Positive,"Good experience at the branch, staff were polite."
2025-02-01,18-25,Male,Branch C,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-03-27,46-60,Female,Mobile App,Neutral,"Service was average, nothing went wrong"
2025-04-07,36-45,Male,Branch C,Positive,Customer service was helpful and answered all my queries.
2025-02-06,36-45,Female,Branch D,Positive,"Good experience at the branch, staff were polite."
2024-12-19,26-35,Male,Mobile App,Positive,Customer service was helpful and answered all my queries. Customer service was helpful and answered all my queries. Customer service was helpful and answered all my queries.
2025-02-15,36-45,Male,Branch D,Negative,Had issues accessing my account online. Had issues accessing my account online.
2025-04-05,60+,Male,Online,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2024-12-16,46-60,Female,Branch A,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2025-01-04,36-45,Male,Branch A,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2024-12-17,26-35,Male,Branch A,Positive,"Good experience at the branch, staff were polite"
2025-05-22,36-45,Female,Branch B,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2024-12-13,46-60,Female,Branch D,Positive,Customer service was helpful and answered all my queries.
2025-03-01,46-60,Female,Branch B,Negative,Long wait time and some confusion with the teller. Long wait time and some confusion with the teller. Long wait time and some confusion with the teller. Long wait time and some confusion with the teller. Long wait time and some confusion with the teller.
2025-02-02,36-45,Male,Mobile App,Extremely Negative,Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks.
2025-03-11,46-60,Female,Branch D,Negative,"Support could be improved, not very responsive."
2024-12-20,46-60,Male,Online,Negative,Had issues accessing my account online.
2025-03-19,36-45,Male,Branch D,Extremely Negative,Terrible customer service and unresolved issues.
2025-03-06,60+,Male,Branch B,Normal,"Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues."
2024-12-21,18-25,Female,Online,Extremely Negative,Terrible customer service and unresolved issues.
2025-03-27,18-25,Male,Online,Extremely Positive,Fantastic experience with my loan application
2024-11-30,36-45,Male,Branch C,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process.
2025-03-05,60+,Female,Online,Normal,"Got my transaction done, no issues."
2025-01-02,36-45,Male,Branch C,Normal,"Service was okay, like usual."
2025-01-03,46-60,Female,Branch A,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-02-11,36-45,Male,Branch D,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process. Fantastic experience with my loan application. Fast and smooth process.
2025-05-17,18-25,Male,Branch C,Neutral,"Banking experience was fine, nothing noteworthy."
2025-05-30,36-45,Female,Mobile App,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2025-05-30,36-45,Female,Mobile App,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2024-12-06,18-25,Male,Mobile App,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2024-12-17,46-60,Female,Online,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2025-03-04,18-25,Male,Online,Positive,"Good experience at the branch, staff were polite"
2025-03-27,60+,Female,Mobile App,Negative,Had issues accessing my account online
2025-04-21,18-25,Female,Branch C,Positive,Happy with the online banking features.
2025-04-07,46-60,Female,Branch D,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2024-12-17,60+,Female,Branch A,Neutral,"Service was average, nothing went wrong."
2025-04-23,18-25,Male,Online,Negative,Long wait time and some confusion with the teller
2025-05-09,18-25,Female,Online,Normal,It was a standard banking interaction.
2024-12-20,18-25,Male,Branch A,Neutral,"Service was average, nothing went wrong."
2024-12-30,46-60,Male,Branch D,Neutral,Just a regular visit to the branch.
2025-01-12,36-45,Female,Branch A,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-03-08,26-35,Male,Branch D,Positive,"Good experience at the branch, staff were polite."
2024-12-16,46-60,Female,Mobile App,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2024-12-26,36-45,Female,Branch D,Extremely Positive,Exceptional banking service! The staff was incredibly helpful
2025-02-09,46-60,Female,Mobile App,Extremely Negative,Terrible customer service and unresolved issues
2025-03-17,18-25,Male,Branch D,Positive,"Good experience at the branch, staff were polite."
2025-04-12,26-35,Female,Branch D,Positive,Happy with the online banking features.
2025-02-21,60+,Female,Branch B,Negative,Long wait time and some confusion with the teller
2025-03-02,36-45,Male,Branch D,Normal,"Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues."
2025-03-30,36-45,Female,Branch A,Extremely Negative,Terrible customer service and unresolved issues.
2025-01-28,46-60,Male,Branch A,Neutral,"Service was average, nothing went wrong."
2024-12-24,36-45,Male,Branch D,Positive,Customer service was helpful and answered all my queries.
2025-01-20,26-35,Female,Online,Extremely Negative,Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional.
2024-12-31,36-45,Female,Mobile App,Negative,Had issues accessing my account online
2025-01-29,36-45,Male,Branch A,Normal,It was a standard banking interaction.
2025-04-18,26-35,Female,Branch B,Neutral,"Service was average, nothing went wrong"
2024-12-23,60+,Male,Branch A,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2024-12-21,46-60,Female,Branch D,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2025-01-21,26-35,Female,Branch C,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-05-19,36-45,Female,Online,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-04-17,46-60,Female,Branch D,Neutral,"Service was average, nothing went wrong. Service was average, nothing went wrong. Service was average, nothing went wrong."
2025-03-15,46-60,Female,Branch A,Neutral,"Service was average, nothing went wrong."
2025-01-18,18-25,Female,Branch C,Positive,Happy with the online banking features. Happy with the online banking features. Happy with the online banking features.
2025-03-04,46-60,Female,Branch B,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2024-12-02,18-25,Female,Branch D,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-05-18,46-60,Female,Branch D,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2024-12-26,26-35,Male,Mobile App,Neutral,"Banking experience was fine, nothing noteworthy"
2024-12-28,26-35,Female,Branch D,Negative,Had issues accessing my account online.
2024-12-31,36-45,Male,Online,Neutral,"Banking experience was fine, nothing noteworthy"
2025-05-24,60+,Male,Branch B,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-03-15,36-45,Female,Mobile App,Negative,Long wait time and some confusion with the teller.
2025-04-01,60+,Male,Branch B,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2024-12-05,60+,Female,Branch C,Positive,Happy with the online banking features
2025-04-25,36-45,Female,Mobile App,Neutral,"Banking experience was fine, nothing noteworthy."
2024-12-05,36-45,Female,Branch B,Positive,Happy with the online banking features
2025-02-23,46-60,Female,Branch C,Extremely Negative,Terrible customer service and unresolved issues.
2025-03-04,46-60,Male,Branch D,Neutral,Just a regular visit to the branch.
2025-04-25,46-60,Male,Mobile App,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2024-12-31,46-60,Female,Branch D,Neutral,Just a regular visit to the branch
2025-05-09,36-45,Female,Branch D,Negative,Long wait time and some confusion with the teller
2025-04-20,46-60,Female,Mobile App,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-01-17,26-35,Male,Branch C,Neutral,Just a regular visit to the branch. Just a regular visit to the branch. Just a regular visit to the branch.
2025-03-21,26-35,Female,Branch D,Negative,Long wait time and some confusion with the teller
2025-02-08,26-35,Female,Branch A,Positive,Happy with the online banking features.
2025-03-26,18-25,Female,Online,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2025-03-10,36-45,Female,Branch C,Negative,Long wait time and some confusion with the teller. Long wait time and some confusion with the teller.
2025-01-15,46-60,Male,Branch C,Neutral,"Service was average, nothing went wrong"
2025-05-31,18-25,Male,Branch A,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-05-23,18-25,Female,Online,Positive,Happy with the online banking features.
2025-01-17,18-25,Male,Mobile App,Positive,Happy with the online banking features. Happy with the online banking features.
2024-12-19,46-60,Female,Branch B,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2024-12-15,18-25,Female,Online,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2025-04-08,46-60,Male,Online,Extremely Positive,Exceptional banking service! The staff was incredibly helpful
2025-05-01,46-60,Female,Branch B,Positive,"Good experience at the branch, staff were polite."
2025-03-01,26-35,Male,Mobile App,Positive,"Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite. Good experience at the branch, staff were polite."
2025-04-03,36-45,Female,Online,Positive,Customer service was helpful and answered all my queries
2025-02-28,36-45,Female,Branch C,Extremely Positive,Extremely satisfied with how my account issues were resolved.
2025-03-16,18-25,Female,Branch B,Extremely Negative,Terrible customer service and unresolved issues
2025-02-20,26-35,Female,Mobile App,Extremely Negative,Very disappointed with the service. Will consider switching banks.
2025-04-11,36-45,Male,Mobile App,Normal,"Service was okay, like usual."
2025-05-22,18-25,Female,Branch A,Positive,Happy with the online banking features.
2025-04-05,46-60,Male,Branch B,Extremely Negative,Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks. Very disappointed with the service. Will consider switching banks.
2024-12-05,18-25,Female,Branch D,Extremely Negative,Worst experience at a bank ever. Totally unprofessional.
2025-04-11,60+,Female,Branch B,Negative,Long wait time and some confusion with the teller.
2025-02-03,26-35,Male,Branch D,Neutral,"Banking experience was fine, nothing noteworthy"
2025-04-22,60+,Female,Branch D,Positive,"Good experience at the branch, staff were polite."
2024-12-27,36-45,Female,Branch C,Normal,"Service was okay, like usual."
2025-04-25,60+,Male,Branch C,Neutral,"Banking experience was fine, nothing noteworthy. Banking experience was fine, nothing noteworthy."
2025-02-26,46-60,Female,Mobile App,Neutral,Just a regular visit to the branch
2024-12-25,26-35,Female,Branch A,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2024-12-05,36-45,Male,Branch A,Negative,"Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive. Support could be improved, not very responsive."
2025-05-01,46-60,Male,Branch C,Extremely Positive,Exceptional banking service! The staff was incredibly helpful
2025-02-21,18-25,Male,Branch B,Positive,"Good experience at the branch, staff were polite."
2025-01-11,60+,Male,Branch A,Normal,"Got my transaction done, no issues. Got my transaction done, no issues."
2024-12-14,18-25,Female,Branch D,Extremely Negative,Worst experience at a bank ever. Totally unprofessional. Worst experience at a bank ever. Totally unprofessional.
2025-04-04,60+,Male,Mobile App,Neutral,Just a regular visit to the branch.
2025-02-15,18-25,Female,Branch C,Extremely Positive,Fantastic experience with my loan application. Fast and smooth process.
2025-01-19,36-45,Male,Branch A,Negative,Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online. Had issues accessing my account online.
2025-01-20,26-35,Female,Branch D,Normal,"Got my transaction done, no issues. Got my transaction done, no issues. Got my transaction done, no issues."
2025-03-14,26-35,Male,Online,Extremely Negative,Terrible customer service and unresolved issues. Terrible customer service and unresolved issues. Terrible customer service and unresolved issues.
2024-12-08,46-60,Male,Online,Neutral,Just a regular visit to the branch.
2025-01-05,60+,Male,Mobile App,Positive,Happy with the online banking features.
2025-03-08,46-60,Female,Branch A,Neutral,"Service was average, nothing went wrong. Service was average, nothing went wrong."
2025-02-02,18-25,Male,Branch B,Negative,"Support could be improved, not very responsive"
2025-05-03,36-45,Female,Branch A,Positive,Happy with the online banking features.
2025-02-13,46-60,Female,Branch D,Extremely Negative,Terrible customer service and unresolved issues
2025-03-12,36-45,Female,Branch D,Negative,Had issues accessing my account online.
2024-12-17,46-60,Female,Branch C,Negative,"Support could be improved, not very responsive."
2025-02-28,26-35,Female,Branch A,Extremely Positive,Exceptional banking service! The staff was incredibly helpful.
2025-02-21,46-60,Female,Mobile App,Positive,"Good experience at the branch, staff were polite."
2025-04-18,60+,Female,Branch B,Normal,"Service was okay, like usual. Service was okay, like usual. Service was okay, like usual."
2025-03-11,46-60,Male,Branch D,Negative,Had issues accessing my account online. Had issues accessing my account online.
